Model,Accuracy,Precision,Recall,F1,AUC-ROC
Logistic Regression,0.7466288147622427,0.5141430948419301,0.8262032085561497,0.6338461538461538,0.8609057325169858
Random Forest,0.7892122072391767,0.5774647887323944,0.767379679144385,0.6590126291618829,0.8561871916091864
XGBoost,0.7501774308019872,0.5184563758389261,0.8262032085561497,0.6371134020618556,0.8601539693611305
